Date and time,Cooling,Heating,Total
08/02/2010 07,0,0,0
08/02/2010 08,0.82,0,0.82
08/02/2010 09,3.98,0,3.98
08/02/2010 10,8.86,6,14.86
08/02/2010 11,10.543,0,10.543
08/02/2010 12,0,1.787,1.787
08/02/2010 13,0,0,0
08/02/2010 14,0,0,0
08/02/2010 15,0,0,0
08/02/2010 16,0,0,0
08/02/2010 17,0,0,0
08/02/2010 18,0,0,0
08/02/2010 19,0,0,0
08/02/2010 20,0,0,0
08/02/2010 21,0,0,0
08/02/2010 22,0,0,0
08/02/2010 23,0,0,0
09/02/2010 00,0,0,0
09/02/2010 01,0,0,0
09/02/2010 02,0,0,0
09/02/2010 03,0,0,0
09/02/2010 04,0,0,0
09/02/2010 05,0,0,0
09/02/2010 06,0,0,0
09/02/2010 07,0,0,0
09/02/2010 08,0,0,0
09/02/2010 09,0.15,0,0.15
09/02/2010 10,9.85,0,9.85
09/02/2010 11,5.13,13.85,18.98
09/02/2010 12,2.99,12.28,15.27
09/02/2010 13,3.1,10.93,14.03
09/02/2010 14,3.88,12.22,16.1
09/02/2010 15,3.08,11.8,14.88
09/02/2010 16,3.9,11.79,15.69
09/02/2010 17,3.06,10.1,13.16
09/02/2010 18,2.97,11.12,14.09
09/02/2010 19,2.98,7.94,10.92
09/02/2010 20,2.94,9.57,12.51
09/02/2010 21,2.99,10.93,13.92
09/02/2010 22,1.98,6.23,8.21
09/02/2010 23,2,4.77,6.77
10/02/2010 00,1.99,2.98,4.97
10/02/2010 01,2,3.98,5.98
10/02/2010 02,1.98,3.73,5.71
10/02/2010 03,2.03,3.23,5.26
10/02/2010 04,2.91,3.98,6.89
10/02/2010 05,2.04,2.99,5.03
10/02/2010 06,2.93,8.96,11.89
10/02/2010 07,2.98,15.22,18.2
10/02/2010 08,3.06,17.24,20.3
10/02/2010 09,2.89,12.94,15.83
10/02/2010 10,2.98,14.26,17.24
10/02/2010 11,9.05,0.85,9.9
10/02/2010 12,4.01,5.9,9.91
10/02/2010 13,3.98,14.98,18.96
10/02/2010 14,2.98,13.3,16.28
10/02/2010 15,3.98,12.59,16.57
10/02/2010 16,2.15,13.18,15.33
10/02/2010 17,3.81,10.71,14.52
10/02/2010 18,2.98,12.35,15.33
10/02/2010 19,2.98,11.54,14.52
10/02/2010 20,2.98,10.36,13.34
10/02/2010 21,2.98,11.95,14.93
10/02/2010 22,2.2,7.7,9.9
10/02/2010 23,1.99,2.55,4.54
11/02/2010 00,1.99,4.98,6.97
11/02/2010 01,1.99,2.45,4.44
11/02/2010 02,1.99,3.52,5.51
11/02/2010 03,2,3.94,5.94
11/02/2010 04,5.3,0,5.3
11/02/2010 05,5.98,0,5.98
11/02/2010 06,12.3,0,12.3
11/02/2010 07,21.26,0,21.26
11/02/2010 08,19.01,0,19.01
11/02/2010 09,20.06,0,20.06
11/02/2010 10,4.98,15.31,20.29
11/02/2010 11,4.3,12.48,16.78
11/02/2010 12,4.66,13.94,18.6
11/02/2010 13,4.59,13.51,18.1
11/02/2010 14,4.98,12.94,17.92
11/02/2010 15,3.97,13.13,17.1
11/02/2010 16,4.38,11.76,16.14
11/02/2010 17,3.98,10.95,14.93
11/02/2010 18,2.98,11.18,14.16
11/02/2010 19,2.98,9.59,12.57
11/02/2010 20,3.44,8.34,11.78
11/02/2010 21,2.99,10.96,13.95
11/02/2010 22,1.99,7.28,9.27
11/02/2010 23,2.74,3.65,6.39
12/02/2010 00,2.23,3.64,5.87
12/02/2010 01,1.98,3.34,5.32
12/02/2010 02,2,3.99,5.99
12/02/2010 03,1.99,3.29,5.28
12/02/2010 04,1.99,3.98,5.97
12/02/2010 05,1.99,2.98,4.97
12/02/2010 06,3.99,9.59,13.58
12/02/2010 07,3.64,15.45,19.09
12/02/2010 08,4.77,16.16,20.93
12/02/2010 09,3.98,15.69,19.67
12/02/2010 10,4.98,12.41,17.39
12/02/2010 11,4.37,14.25,18.62
12/02/2010 12,4.59,12.74,17.33
12/02/2010 13,4.35,10.37,14.72
12/02/2010 14,3.96,11.13,15.09
12/02/2010 15,4.62,11.75,16.37
12/02/2010 16,3.98,11.59,15.57
12/02/2010 17,2.97,10.12,13.09
12/02/2010 18,3.66,8.96,12.62
12/02/2010 19,2.99,8.8,11.79
12/02/2010 20,3.29,6.83,10.12
12/02/2010 21,3.69,4.97,8.66
12/02/2010 22,1.98,4.97,6.95
12/02/2010 23,1.99,3.86,5.85
13/02/2010 00,1.99,3.98,5.97
13/02/2010 01,1.98,2.98,4.96
13/02/2010 02,2.99,3.98,6.97
13/02/2010 03,1.21,2.06,3.27
13/02/2010 04,2.76,4.91,7.67
13/02/2010 05,1.98,3.04,5.02
13/02/2010 06,2.98,7.02,10
13/02/2010 07,2.99,5.93,8.92
13/02/2010 08,2.16,4.97,7.13
13/02/2010 09,3.81,6.97,10.78
13/02/2010 10,2.15,4.97,7.12
13/02/2010 11,2.84,4.97,7.81
13/02/2010 12,3.12,6.97,10.09
