Date and time,Cooling,Heating,Total
21/09/2010 08,3.32,9.06,12.38
21/09/2010 09,5.32,7.96,13.28
21/09/2010 10,2.95,7.95,10.9
21/09/2010 11,6.66,7.96,14.62
21/09/2010 12,4.67,5.25,9.92
21/09/2010 13,6.27,4.55,10.82
21/09/2010 14,5.98,3.4,9.38
21/09/2010 15,5.25,5.81,11.06
21/09/2010 16,6.43,2.15,8.58
21/09/2010 17,3.98,3.98,7.96
21/09/2010 18,4.98,4.78,9.76
21/09/2010 19,3.98,3.18,7.16
21/09/2010 20,4.98,3.98,8.96
21/09/2010 21,3.2,2.74,5.94
21/09/2010 22,4.55,2.71,7.26
21/09/2010 23,2.79,3,5.79
22/09/2010 00,3.38,2,5.38
22/09/2010 01,2.99,3,5.99
22/09/2010 02,2.15,2,4.15
22/09/2010 03,3.65,3,6.65
22/09/2010 04,3.84,3,6.84
22/09/2010 05,2.43,2,4.43
22/09/2010 06,4.84,9.71,14.55
22/09/2010 07,5.11,9.28,14.39
22/09/2010 08,2.97,6.63,9.6
22/09/2010 09,5.87,7.31,13.18
22/09/2010 10,3.98,6.61,10.59
22/09/2010 11,5.07,5.71,10.78
22/09/2010 12,6.89,3.37,10.26
22/09/2010 13,4.1,5.19,9.29
22/09/2010 14,7.86,2.38,10.24
22/09/2010 15,4.09,4.4,8.49
22/09/2010 16,6.92,3.13,10.05
22/09/2010 17,3.94,3.85,7.79
22/09/2010 18,5.01,4.07,9.08
22/09/2010 19,4.95,2.98,7.93
22/09/2010 20,4.01,4.38,8.39
22/09/2010 21,3.99,3.55,7.54
22/09/2010 22,4.96,2.47,7.43
22/09/2010 23,2,2.47,4.47
23/09/2010 00,3.01,2.48,5.49
23/09/2010 01,2.99,1.03,4.02
23/09/2010 02,2.94,3,5.94
23/09/2010 03,2.1,2,4.1
23/09/2010 04,4.79,3,7.79
23/09/2010 05,2.05,1.87,3.92
23/09/2010 06,5.9,6.83,12.73
23/09/2010 07,3.52,7.13,10.65
23/09/2010 08,3.64,6.38,10.02
23/09/2010 09,3.77,5.98,9.75
23/09/2010 10,3.66,5.96,9.62
23/09/2010 11,4.28,5.23,9.51
23/09/2010 12,2.97,3.35,6.32
23/09/2010 13,5.98,2.98,8.96
23/09/2010 14,3.13,4.3,7.43
23/09/2010 15,4.99,3,7.99
23/09/2010 16,4.98,2.97,7.95
23/09/2010 17,3.99,4.04,8.03
23/09/2010 18,3.18,3.9,7.08
23/09/2010 19,4.57,2.67,7.24
23/09/2010 20,2.19,4.7,6.89
23/09/2010 21,3.98,3.53,7.51
23/09/2010 22,1.98,2.71,4.69
23/09/2010 23,3.47,1.98,5.45
24/09/2010 00,3.49,2.49,5.98
24/09/2010 01,1.99,2,3.99
24/09/2010 02,2.52,3,5.52
24/09/2010 03,2.72,2,4.72
24/09/2010 04,2.71,3,5.71
24/09/2010 05,2.29,1.56,3.85
24/09/2010 06,5.68,10.15,15.83
24/09/2010 07,3.3,6.79,10.09
24/09/2010 08,4.66,7.13,11.79
24/09/2010 09,1.98,8.11,10.09
24/09/2010 10,3.33,9.81,13.14
24/09/2010 11,3.64,7.96,11.6
24/09/2010 12,1.98,7.83,9.81
24/09/2010 13,2.73,7.08,9.81
24/09/2010 14,3.85,7.96,11.81
24/09/2010 15,2.37,7.96,10.33
24/09/2010 16,2.78,11.04,13.82
24/09/2010 17,3.18,8.88,12.06
24/09/2010 18,3.4,7.9,11.3
24/09/2010 19,2.99,7.02,10.01
24/09/2010 20,2.56,7.96,10.52
24/09/2010 21,2.43,8.91,11.34
24/09/2010 22,2.44,1.98,4.42
24/09/2010 23,0,1.97,1.97
25/09/2010 00,0,0,0
25/09/2010 01,0,0,0
25/09/2010 02,0,0,0
25/09/2010 03,0,0,0
25/09/2010 04,0,0,0
25/09/2010 05,0,0,0
25/09/2010 06,0,0,0
25/09/2010 07,0,0,0
25/09/2010 08,0,0,0
25/09/2010 09,0,0,0
25/09/2010 10,0,0,0
25/09/2010 11,0,0,0
25/09/2010 12,0,0,0
25/09/2010 13,0,0,0
25/09/2010 14,0,0,0
25/09/2010 15,0,0,0
25/09/2010 16,0,0,0
25/09/2010 17,0,0,0
25/09/2010 18,0,0,0
25/09/2010 19,0,0,0
25/09/2010 20,0,0,0
25/09/2010 21,0,0,0
25/09/2010 22,0,0,0
25/09/2010 23,0,0,0
26/09/2010 00,0,0,0
26/09/2010 01,0,0,0
26/09/2010 02,0,0,0
26/09/2010 03,0,0,0
26/09/2010 04,0,0,0
26/09/2010 05,0,0,0
26/09/2010 06,0,0,0
26/09/2010 07,0,0,0
26/09/2010 08,0,0,0
26/09/2010 09,0,0,0
26/09/2010 10,0,0,0
26/09/2010 11,0,0,0
26/09/2010 12,0,0,0
26/09/2010 13,0,0,0
26/09/2010 14,0,0,0
26/09/2010 15,0,0,0
26/09/2010 16,0,0,0
26/09/2010 17,0,0,0
26/09/2010 18,0,0,0
26/09/2010 19,0,0,0
26/09/2010 20,0,0,0
26/09/2010 21,0,0,0
26/09/2010 22,0,0,0
26/09/2010 23,0,0,0
27/09/2010 00,0,0,0
27/09/2010 01,0,0,0
27/09/2010 02,0,0,0
27/09/2010 03,0,0,0
27/09/2010 04,0,0,0
27/09/2010 05,0,0,0
27/09/2010 06,0,0,0
27/09/2010 07,0,0,0
27/09/2010 08,0,0,0
27/09/2010 09,0,0,0
27/09/2010 10,0,0,0
27/09/2010 11,0,0,0
27/09/2010 12,0,0,0
27/09/2010 13,0,0,0
27/09/2010 14,0,0,0
27/09/2010 15,0,0,0
27/09/2010 16,0,0,0
27/09/2010 17,0,0,0
27/09/2010 18,0,0,0
27/09/2010 19,0,0,0
27/09/2010 20,0,0,0
27/09/2010 21,0,0,0
27/09/2010 22,0,0,0
27/09/2010 23,0,0,0
28/09/2010 00,0,0,0
28/09/2010 01,0,0,0
28/09/2010 02,0,0,0
28/09/2010 03,0,0,0
28/09/2010 04,0,0,0
28/09/2010 05,0,0,0
28/09/2010 06,0,0,0
28/09/2010 07,0,0,0
28/09/2010 08,0,0,0
28/09/2010 09,0,0,0
28/09/2010 10,0,0,0
28/09/2010 11,0,0,0
28/09/2010 12,0,0,0
28/09/2010 13,0,0,0
28/09/2010 14,0,0,0
28/09/2010 15,0,0,0
28/09/2010 16,0,0,0
28/09/2010 17,0,0,0
28/09/2010 18,0,0,0
28/09/2010 19,0,0,0
28/09/2010 20,0,0,0
28/09/2010 21,0,0,0
28/09/2010 22,0,0,0
28/09/2010 23,0,0,0
29/09/2010 00,0,0,0
29/09/2010 01,0,0,0
29/09/2010 02,0,0,0
29/09/2010 03,0,0,0
29/09/2010 04,0,0,0
29/09/2010 05,0,0,0
29/09/2010 06,0,0,0
29/09/2010 07,0,0,0
29/09/2010 08,0,0,0
29/09/2010 09,0,0,0
29/09/2010 10,0,0,0
29/09/2010 11,0,0,0
29/09/2010 12,0,0,0
29/09/2010 13,0,0,0
29/09/2010 14,0,0,0
29/09/2010 15,0,0,0
29/09/2010 16,0,0,0
29/09/2010 17,0,0,0
29/09/2010 18,0,0,0
29/09/2010 19,0,0,0
29/09/2010 20,0,0,0
29/09/2010 21,0,0,0
29/09/2010 22,0,0,0
29/09/2010 23,0,0,0
30/09/2010 00,0,0,0
30/09/2010 01,0,0,0
30/09/2010 02,0,0,0
30/09/2010 03,0,0,0
30/09/2010 04,0,0,0
30/09/2010 05,0,0,0
30/09/2010 06,0,0,0
30/09/2010 07,0,0,0
30/09/2010 08,0,0,0
30/09/2010 09,0,0,0
30/09/2010 10,0,0,0
30/09/2010 11,0,0,0
30/09/2010 12,0,0,0
30/09/2010 13,0,0,0
30/09/2010 14,0,0,0
30/09/2010 15,0,0,0
30/09/2010 16,0,0,0
30/09/2010 17,0,0,0
30/09/2010 18,0,0,0
30/09/2010 19,0,0,0
30/09/2010 20,0,0,0
30/09/2010 21,0,0,0
30/09/2010 22,0,0,0
30/09/2010 23,0,0,0
01/10/2010 00,0,0,0
01/10/2010 01,0,0,0
01/10/2010 02,0,0,0
01/10/2010 03,0,0,0
01/10/2010 04,0,0,0
01/10/2010 05,0,0,0
01/10/2010 06,0,0,0
01/10/2010 07,0,0,0
01/10/2010 08,0,0,0
01/10/2010 09,0,0,0
01/10/2010 10,0,0,0
01/10/2010 11,0,0,0
01/10/2010 12,0,0,0
01/10/2010 13,0,0,0
01/10/2010 14,0,0,0
01/10/2010 15,0,0,0
01/10/2010 16,0,0,0
01/10/2010 17,0,0,0
01/10/2010 18,0,0,0
01/10/2010 19,0,0,0
01/10/2010 20,0,0,0
01/10/2010 21,0,0,0
01/10/2010 22,0,0,0
01/10/2010 23,0,0,0
02/10/2010 00,0,0,0
02/10/2010 01,0,0,0
02/10/2010 02,0,0,0
02/10/2010 03,0,0,0
02/10/2010 04,0,0,0
02/10/2010 05,0,0,0
02/10/2010 06,0,0,0
02/10/2010 07,0,0,0
02/10/2010 08,0,0,0
02/10/2010 09,0,0,0
02/10/2010 10,0,0,0
02/10/2010 11,0,0,0
02/10/2010 12,0,0,0
02/10/2010 13,0,0,0
02/10/2010 14,0,0,0
02/10/2010 15,0,0,0
02/10/2010 16,0,0,0
02/10/2010 17,0,0,0
02/10/2010 18,0,0,0
02/10/2010 19,0,0,0
02/10/2010 20,0,0,0
02/10/2010 21,0,0,0
02/10/2010 22,0,0,0
02/10/2010 23,0,0,0
03/10/2010 00,0,0,0
03/10/2010 01,0,0,0
03/10/2010 02,0,0,0
03/10/2010 03,0,0,0
03/10/2010 04,0,0,0
03/10/2010 05,0,0,0
03/10/2010 06,0,0,0
03/10/2010 07,0,0,0
03/10/2010 08,0,0,0
03/10/2010 09,0,0,0
03/10/2010 10,0,0,0
03/10/2010 11,0,0,0
03/10/2010 12,0,0,0
03/10/2010 13,0,0,0
03/10/2010 14,0,0,0
03/10/2010 15,0,0,0
03/10/2010 16,0,0,0
03/10/2010 17,0,0,0
03/10/2010 18,0,0,0
03/10/2010 19,0,0,0
03/10/2010 20,0,0,0
03/10/2010 21,0,0,0
03/10/2010 22,0,0,0
03/10/2010 23,0,0,0
04/10/2010 00,0,0,0
04/10/2010 01,0,0,0
04/10/2010 02,0,0,0
04/10/2010 03,0,0,0
04/10/2010 04,0,0,0
04/10/2010 05,0,0,0
04/10/2010 06,0,0,0
04/10/2010 07,0,0,0
04/10/2010 08,0,0,0
04/10/2010 09,0,0,0
04/10/2010 10,0,0,0
04/10/2010 11,0,0,0
04/10/2010 12,0,0,0
04/10/2010 13,0,0,0
04/10/2010 14,0,0,0
04/10/2010 15,0,0,0
04/10/2010 16,0,0,0
04/10/2010 17,0,0,0
04/10/2010 18,0,0,0
04/10/2010 19,0,0,0
04/10/2010 20,0,0,0
04/10/2010 21,0,0,0
04/10/2010 22,0,0,0
04/10/2010 23,0,0,0
05/10/2010 00,0,0,0
05/10/2010 01,0,0,0
05/10/2010 02,0,0,0
05/10/2010 03,0,0,0
05/10/2010 04,0,0,0
05/10/2010 05,0,0,0
05/10/2010 06,0,0,0
05/10/2010 07,0,0,0
05/10/2010 08,0,0,0
05/10/2010 09,0,0,0
05/10/2010 10,0,0,0
05/10/2010 11,0,0,0
05/10/2010 12,0,0,0
05/10/2010 13,0,0,0
05/10/2010 14,0,0,0
05/10/2010 15,0,0,0
05/10/2010 16,0,0,0
05/10/2010 17,0,0,0
05/10/2010 18,0,0,0
05/10/2010 19,0,0,0
05/10/2010 20,0,0,0
05/10/2010 21,0,0,0
05/10/2010 22,0,0,0
05/10/2010 23,0,0,0
06/10/2010 00,0,0,0
06/10/2010 01,0,0,0
06/10/2010 02,0,0,0
06/10/2010 03,0,0,0
06/10/2010 04,0,0,0
06/10/2010 05,0,0,0
06/10/2010 06,0,0,0
06/10/2010 07,0,0,0
06/10/2010 08,0.68,0.98,1.66
06/10/2010 09,10.02,16.63,26.65
06/10/2010 10,5.78,12.58,18.36
06/10/2010 11,5.98,9.14,15.12
06/10/2010 12,7.94,8.79,16.73
06/10/2010 13,4.02,6.96,10.98
06/10/2010 14,6.91,6.83,13.74
06/10/2010 15,6.05,4.59,10.64
06/10/2010 16,3.98,4.35,8.33
06/10/2010 17,5.92,5.17,11.09
06/10/2010 18,2.98,7.91,10.89
06/10/2010 19,5.83,5.96,11.79
06/10/2010 20,2.16,5.97,8.13
06/10/2010 21,1.99,6.97,8.96
06/10/2010 22,3.78,3.87,7.65
06/10/2010 23,2.09,1.06,3.15
07/10/2010 00,2.24,2.94,5.18
07/10/2010 01,3.72,4.93,8.65
07/10/2010 02,2,2.98,4.98
07/10/2010 03,3.14,3,6.14
07/10/2010 04,2.99,2.47,5.46
07/10/2010 05,2.82,2.53,5.35
07/10/2010 06,5.8,4.94,10.74
07/10/2010 07,2.99,6.52,9.51
07/10/2010 08,5.38,5.03,10.41
07/10/2010 09,3.18,6.92,10.1
07/10/2010 10,6.15,6.51,12.66
07/10/2010 11,6.58,4.51,11.09
07/10/2010 12,7.26,5.89,13.15
07/10/2010 13,6.69,5.84,12.53
07/10/2010 14,9.97,5.08,15.05
07/10/2010 15,11.45,2.97,14.42
07/10/2010 16,9.68,5.96,15.64
07/10/2010 17,6.08,5.13,11.21
07/10/2010 18,4.68,2.82,7.5
07/10/2010 19,4.59,6.13,10.72
07/10/2010 20,4.37,3.16,7.53
07/10/2010 21,3.29,4.62,7.91
07/10/2010 22,2.64,2.56,5.2
07/10/2010 23,3.32,3,6.32
08/10/2010 00,2.99,4.36,7.35
08/10/2010 01,3.34,1.81,5.15
08/10/2010 02,2.63,4.12,6.75
08/10/2010 03,3.36,2.21,5.57
08/10/2010 04,3.59,2.98,6.57
08/10/2010 05,2.59,2.5,5.09
08/10/2010 06,5.98,5.9,11.88
08/10/2010 07,4.39,5.54,9.93
08/10/2010 08,5.55,4.67,10.22
08/10/2010 09,5.98,6.67,12.65
08/10/2010 10,8.09,3.28,11.37
08/10/2010 11,10.51,6.3,16.81
08/10/2010 12,10.86,4.98,15.84
08/10/2010 13,10.03,2.63,12.66
08/10/2010 14,11.47,6.33,17.8
08/10/2010 15,11.42,4.98,16.4
08/10/2010 16,8.44,2.98,11.42
08/10/2010 17,6.98,4.6,11.58
08/10/2010 18,5.98,4.95,10.93
08/10/2010 19,4.5,3.22,7.72
08/10/2010 20,2.58,6.56,9.14
08/10/2010 21,3.98,5.55,9.53
08/10/2010 22,3.53,2.42,5.95
08/10/2010 23,2.99,1.98,4.97
09/10/2010 00,3.42,3.91,7.33
09/10/2010 01,2.98,2,4.98
09/10/2010 02,3.57,3,6.57
09/10/2010 03,2.4,3.52,5.92
09/10/2010 04,3.59,2.48,6.07
09/10/2010 05,3.75,2.94,6.69
09/10/2010 06,4.6,5.53,10.13
09/10/2010 07,3.98,2.92,6.9
09/10/2010 08,3.98,4.97,8.95
09/10/2010 09,3.98,6.97,10.95
09/10/2010 10,4.32,5.4,9.72
09/10/2010 11,3.97,6.54,10.51
09/10/2010 12,3.97,2.55,6.52
09/10/2010 13,4.66,6.38,11.04
09/10/2010 14,3.98,4.98,8.96
09/10/2010 15,3.98,5.35,9.33
09/10/2010 16,3.26,3.2,6.46
09/10/2010 17,3.97,5.33,9.3
09/10/2010 18,1.64,6.33,7.97
09/10/2010 19,3.98,3.34,7.32
09/10/2010 20,3.74,5.32,9.06
09/10/2010 21,3.23,5,8.23
09/10/2010 22,3.75,3.62,7.37
09/10/2010 23,2.99,3.59,6.58
10/10/2010 00,4.7,4.46,9.16
10/10/2010 01,3.98,1.28,5.26
10/10/2010 02,2.98,2.72,5.7
10/10/2010 03,2.97,2,4.97
10/10/2010 04,3.73,2.5,6.23
10/10/2010 05,3.95,2.22,6.17
10/10/2010 06,5.26,4.28,9.54
10/10/2010 07,4.76,3.44,8.2
10/10/2010 08,3.99,4.77,8.76
10/10/2010 09,3.39,2.19,5.58
10/10/2010 10,3.97,4.98,8.95
10/10/2010 11,3.97,2.15,6.12
10/10/2010 12,4.8,4.8,9.6
10/10/2010 13,4.82,2.14,6.96
10/10/2010 14,4.14,4.96,9.1
10/10/2010 15,4.12,2.83,6.95
10/10/2010 16,3.96,3.98,7.94
10/10/2010 17,4.86,2.98,7.84
10/10/2010 18,3.87,4.98,8.85
10/10/2010 19,4.09,1.98,6.07
10/10/2010 20,3.07,4.98,8.05
10/10/2010 21,4.81,2.05,6.86
10/10/2010 22,3.59,4.91,8.5
10/10/2010 23,3.39,1.98,5.37
11/10/2010 00,2.98,1.97,4.95
11/10/2010 01,3.02,3.92,6.94
11/10/2010 02,3.96,2,5.96
11/10/2010 03,2.99,2.02,5.01
11/10/2010 04,2.99,2,4.99
11/10/2010 05,2.99,1.99,4.98
11/10/2010 06,5.98,5.95,11.93
11/10/2010 07,4.98,4.02,9
11/10/2010 08,3.99,3.92,7.91
11/10/2010 09,5.93,6.92,12.85
11/10/2010 10,7.39,7.49,14.88
11/10/2010 11,7.55,6.49,14.04
11/10/2010 12,9.9,4.06,13.96
11/10/2010 13,10.41,5.43,15.84
11/10/2010 14,10.32,5.43,15.75
11/10/2010 15,6.74,4.6,11.34
11/10/2010 16,10.38,0,10.38
11/10/2010 17,8.62,0,8.62
11/10/2010 18,5.28,0,5.28
11/10/2010 19,5.82,0,5.82
11/10/2010 20,6.8,0,6.8
11/10/2010 21,5.31,0,5.31
11/10/2010 22,8.6,0,8.6
11/10/2010 23,0,4.74,4.74
12/10/2010 00,0,0,0
12/10/2010 01,0,0,0
12/10/2010 02,0,0,0
12/10/2010 03,0,0,0
12/10/2010 04,0,0,0
12/10/2010 05,0,0,0
12/10/2010 06,0,0,0
12/10/2010 07,0,0,0
12/10/2010 08,0,0,0
12/10/2010 09,0,0,0
12/10/2010 10,0,0,0
12/10/2010 11,0,0,0
12/10/2010 12,0,0,0
12/10/2010 13,0,0,0
12/10/2010 14,0,0,0
12/10/2010 15,0,0,0
12/10/2010 16,0,0,0
12/10/2010 17,0,0,0
12/10/2010 18,0,0,0
12/10/2010 19,0,0,0
12/10/2010 20,0,0,0
12/10/2010 21,0,0,0
12/10/2010 22,0,0,0
12/10/2010 23,0,0,0
13/10/2010 00,0,0,0
13/10/2010 01,0,0,0
13/10/2010 02,0,0,0
13/10/2010 03,0,0,0
13/10/2010 04,0,0,0
13/10/2010 05,0,0,0
13/10/2010 06,0,0,0
13/10/2010 07,0,0,0
13/10/2010 08,0,0,0
13/10/2010 09,0,0,0
13/10/2010 10,0,0,0
13/10/2010 11,0,0,0
13/10/2010 12,0,0,0
13/10/2010 13,0,0,0
13/10/2010 14,0,0,0
13/10/2010 15,0,0,0
13/10/2010 16,0,0,0
13/10/2010 17,0,0,0
13/10/2010 18,0,0,0
13/10/2010 19,0,0,0
13/10/2010 20,0,0,0
13/10/2010 21,0,0,0
13/10/2010 22,0,0,0
13/10/2010 23,0,0,0
14/10/2010 00,0,0,0
14/10/2010 01,0,0,0
14/10/2010 02,0,0,0
14/10/2010 03,0,0,0
14/10/2010 04,0,0,0
14/10/2010 05,0,0,0
14/10/2010 06,0,0,0
14/10/2010 07,0,0,0
14/10/2010 08,0,0,0
14/10/2010 09,0,0,0
14/10/2010 10,0,0,0
14/10/2010 11,0.38,1.01,1.39
14/10/2010 12,11.4,20.96,32.36
14/10/2010 13,7.37,8.78,16.15
14/10/2010 14,9.55,7.96,17.51
14/10/2010 15,8.96,7.96,16.92
14/10/2010 16,8.14,6.82,14.96
14/10/2010 17,6.62,3.84,10.46
14/10/2010 18,4.97,5.1,10.07
14/10/2010 19,3.82,5.96,9.78
14/10/2010 20,3.98,2.97,6.95
14/10/2010 21,2.98,4.79,7.77
14/10/2010 22,2.99,1.99,4.98
14/10/2010 23,2.98,3.92,6.9
15/10/2010 00,2.98,2,4.98
15/10/2010 01,2.98,1.09,4.07
15/10/2010 02,2.9,1.98,4.88
15/10/2010 03,2.99,2,4.99
15/10/2010 04,3,2.97,5.97
15/10/2010 05,2.16,2.98,5.14
15/10/2010 06,4.87,3.97,8.84
15/10/2010 07,3.97,4.94,8.91
15/10/2010 08,3.99,3.07,7.06
15/10/2010 09,3.99,4.88,8.87
15/10/2010 10,5,3.11,8.11
15/10/2010 11,5.98,6.78,12.76
15/10/2010 12,5.98,5.02,11
15/10/2010 13,4.99,3.43,8.42
15/10/2010 14,5.98,6.51,12.49
15/10/2010 15,5.98,5.97,11.95
15/10/2010 16,4.93,5.96,10.89
15/10/2010 17,4.03,5.08,9.11
15/10/2010 18,3.98,3.85,7.83
15/10/2010 19,3.52,3.11,6.63
15/10/2010 20,3.44,4.13,7.57
15/10/2010 21,2.08,3.67,5.75
15/10/2010 22,3.89,3.13,7.02
15/10/2010 23,2.1,1.98,4.08
16/10/2010 00,2.99,2.79,5.78
16/10/2010 01,2.99,2.16,5.15
16/10/2010 02,2.86,2.78,5.64
16/10/2010 03,2.13,2.97,5.1
16/10/2010 04,2.98,1.43,4.41
16/10/2010 05,2,1.99,3.99
16/10/2010 06,4.82,4.49,9.31
16/10/2010 07,3.17,2.75,5.92
16/10/2010 08,2.8,5.18,7.98
16/10/2010 09,3.19,2.97,6.16
16/10/2010 10,3.78,4.26,8.04
16/10/2010 11,3.21,3.68,6.89
16/10/2010 12,2.76,2.91,5.67
16/10/2010 13,3.22,5.03,8.25
16/10/2010 14,3.74,2.96,6.7
16/10/2010 15,2.99,4,6.99
16/10/2010 16,2.25,3.94,6.19
16/10/2010 17,3.71,2.97,6.68
16/10/2010 18,3.27,4.09,7.36
16/10/2010 19,3.69,3.84,7.53
16/10/2010 20,3.28,3.76,7.04
16/10/2010 21,2.67,4.58,7.25
16/10/2010 22,2.98,2.98,5.96
16/10/2010 23,1.72,5.87,7.59
17/10/2010 00,3.74,1.84,5.58
17/10/2010 01,2.42,5.09,7.51
17/10/2010 02,1.99,2.97,4.96
17/10/2010 03,3.52,2.44,5.96
17/10/2010 04,2.45,3.94,6.39
17/10/2010 05,3.01,3,6.01
17/10/2010 06,4.47,6.01,10.48
17/10/2010 07,2.98,4.98,7.96
17/10/2010 08,2.98,6.94,9.92
17/10/2010 09,3.51,6.07,9.58
17/10/2010 10,3.45,4.84,8.29
17/10/2010 11,2.98,5.6,8.58
17/10/2010 12,3.54,5.3,8.84
17/10/2010 13,2.99,4.67,7.66
17/10/2010 14,3.41,5.83,9.24
17/10/2010 15,3.57,5.15,8.72
17/10/2010 16,2.38,5.18,7.56
17/10/2010 17,3.98,4.18,8.16
17/10/2010 18,2.98,6.35,9.33
17/10/2010 19,3.61,2.97,6.58
17/10/2010 20,2.99,6.61,9.6
17/10/2010 21,2.99,3.67,6.66
17/10/2010 22,3.33,6.29,9.62
17/10/2010 23,2.66,4.31,6.97
18/10/2010 00,2.99,5.02,8.01
18/10/2010 01,2.99,3.91,6.9
18/10/2010 02,2.28,2.97,5.25
18/10/2010 03,3.41,3.68,7.09
18/10/2010 04,2.27,4.43,6.7
18/10/2010 05,3.26,3.59,6.85
18/10/2010 06,3.98,12.95,16.93
18/10/2010 07,3.98,11.94,15.92
18/10/2010 08,3.98,11.17,15.15
18/10/2010 09,3.43,12.7,16.13
18/10/2010 10,5.53,10.51,16.04
18/10/2010 11,6.18,6.97,13.15
18/10/2010 12,6.16,4.76,10.92
18/10/2010 13,6.97,6.16,13.13
18/10/2010 14,6.79,3.79,10.58
18/10/2010 15,5.12,7.12,12.24
18/10/2010 16,8.68,6.67,15.35
18/10/2010 17,4.97,5.4,10.37
18/10/2010 18,3.98,8.94,12.92
18/10/2010 19,3.11,4.71,7.82
18/10/2010 20,4.75,5.96,10.71
18/10/2010 21,2.99,3.97,6.96
18/10/2010 22,2.99,4.79,7.78
18/10/2010 23,2.07,3.91,5.98
19/10/2010 00,2.98,3,5.98
19/10/2010 01,2.92,3.05,5.97
19/10/2010 02,2.99,3.04,6.03
19/10/2010 03,2.99,2.01,5
19/10/2010 04,2.5,4.43,6.93
19/10/2010 05,2.51,3.48,5.99
19/10/2010 06,4.96,5.02,9.98
19/10/2010 07,3.98,9.94,13.92
19/10/2010 08,2.99,7.96,10.95
19/10/2010 09,3.97,15.89,19.86
19/10/2010 10,5.43,12.47,17.9
19/10/2010 11,6.48,10.46,16.94
19/10/2010 12,5.98,6.11,12.09
19/10/2010 13,6.96,10.77,17.73
19/10/2010 14,5.05,9.03,14.08
19/10/2010 15,5.98,5.96,11.94
19/10/2010 16,4.43,9.41,13.84
19/10/2010 17,6.32,8.51,14.83
19/10/2010 18,4.19,7.08,11.27
19/10/2010 19,3.98,6.29,10.27
19/10/2010 20,3.98,9.39,13.37
19/10/2010 21,2.98,8.1,11.08
19/10/2010 22,2.14,3.12,5.26
19/10/2010 23,2.83,2.97,5.8
20/10/2010 00,2.15,3.32,5.47
20/10/2010 01,2.99,3.18,6.17
20/10/2010 02,2.99,3,5.99
20/10/2010 03,1.99,3.58,5.57
20/10/2010 04,2.21,3.76,5.97
20/10/2010 05,3.54,2.98,6.52
20/10/2010 06,3.98,12,15.98
20/10/2010 07,3.98,16.19,20.17
20/10/2010 08,3.98,20.15,24.13
20/10/2010 09,5.25,16.18,21.43
20/10/2010 10,4.71,13.47,18.18
20/10/2010 11,5.69,11.23,16.92
20/10/2010 12,4.97,8.95,13.92
20/10/2010 13,6.97,9.95,16.92
20/10/2010 14,4.97,8.95,13.92
20/10/2010 15,4.3,9.28,13.58
20/10/2010 16,3.98,7.96,11.94
20/10/2010 17,3.98,5.31,9.29
20/10/2010 18,3.34,8.25,11.59
20/10/2010 19,2.99,8.95,11.94
20/10/2010 20,3.61,8.33,11.94
20/10/2010 21,2.98,5.36,8.34
20/10/2010 22,2.98,5.37,8.35
20/10/2010 23,2.39,3.57,5.96
21/10/2010 00,2.99,4.39,7.38
21/10/2010 01,2.55,5.55,8.1
21/10/2010 02,2.98,2.97,5.95
21/10/2010 03,2.98,5.43,8.41
21/10/2010 04,2.45,4.05,6.5
21/10/2010 05,3.51,5.39,8.9
21/10/2010 06,3.98,12.1,16.08
21/10/2010 07,3.98,17.41,21.39
21/10/2010 08,5.49,17.91,23.4
21/10/2010 09,3.99,13.43,17.42
21/10/2010 10,4.93,11.46,16.39
21/10/2010 11,4.43,10.47,14.9
21/10/2010 12,4.51,4.05,8.56
21/10/2010 13,5.52,7.41,12.93
21/10/2010 14,5.84,7.09,12.93
21/10/2010 15,6.54,6.25,12.79
21/10/2010 16,5.96,8.95,14.91
21/10/2010 17,4.57,8.95,13.52
21/10/2010 18,4.37,9.95,14.32
21/10/2010 19,3.59,9.18,12.77
21/10/2010 20,3.61,5.34,8.95
21/10/2010 21,3.35,7.96,11.31
21/10/2010 22,2.63,3.61,6.24
21/10/2010 23,2.99,4.95,7.94
22/10/2010 00,2.31,3,5.31
22/10/2010 01,2.97,2.63,5.6
22/10/2010 02,2.68,3.29,5.97
22/10/2010 03,2.28,2.96,5.24
22/10/2010 04,2.69,4.39,7.08
22/10/2010 05,3.27,4.82,8.09
22/10/2010 06,3.98,11.3,15.28
22/10/2010 07,3.98,14.88,18.86
22/10/2010 08,3.73,10.45,14.18
22/10/2010 09,2.99,12.69,15.68
22/10/2010 10,3.45,11.49,14.94
22/10/2010 11,4.97,8.18,13.15
22/10/2010 12,4.97,8.74,13.71
22/10/2010 13,5.96,5.96,11.92
22/10/2010 14,4.96,6.96,11.92
22/10/2010 15,5.79,7.96,13.75
22/10/2010 16,4.98,8.63,13.61
22/10/2010 17,3.98,5.13,9.11
22/10/2010 18,3.98,7.25,11.23
22/10/2010 19,3.85,8.29,12.14
22/10/2010 20,2.99,3.49,6.48
22/10/2010 21,2.99,6.51,9.5
22/10/2010 22,2.99,3.1,6.09
22/10/2010 23,2.99,3.17,6.16
23/10/2010 00,1.98,2.97,4.95
23/10/2010 01,2.99,2.97,5.96
23/10/2010 02,2.05,2.96,5.01
23/10/2010 03,2.98,5.92,8.9
23/10/2010 04,2.93,3.01,5.94
